id,abbr,category,clickRate,timeBeforeFirstClick,attractivenessRate,exposureRate,CRpClick
1,M & S,Meat & Seafood,0.8,46.1,4.93,16.8,8.9
2,F & V,Fruits & Vegetables,0.52,62.2,3.17,16.8,15.7
3,Bread,Bread & Bakery,0.32,50.1,1.97,16.8,13.6
4,D & E,"Dairy, Eggs & Cheese",0.35,52.8,2.15,16.8,15.3
5,Drinks,Beverages,0.16,50,0.96,16.8,9.93
6,Frozen,Frozen Foods,0.16,57.9,0.97,16.8,10
7,Deli,Deli,0.2,47.9,1.2,16.8,8.71
8,Alcohol,"Wine, Spirits & Beers",0.15,45.7,0.93,16.8,7.45
9,Sweets,"Cookies, Snacks & Candy",0.1,56,0.86,12.4,11.2
10,Home,"Paper, Cleaning & Home",0.09,64.2,0.79,12.4,13.3
11,Canned,Canned Goods & Soups,0.09,67.9,0.77,12.4,12.5
12,Breakfast,Breakfast & Cereal,0.07,62.1,0.61,12.4,12.3
13,Personal,Personal Care & Health,0.05,62.2,0.43,12.4,12.3
14,Deals,Deals,0.26,51.5,2.19,12.4,6.33
15,Exclusive,Exclusive Brands,0.02,77.1,0.17,12.4,7.55
16,More,View More,0.15,54.4,1.19,12.4,5.65
